from_title,from_date,to_title,to_date,years_between,long_shift_score,sentiment_delta,from_stance,to_stance,from_prediction_style,to_prediction_style,increased_themes,decreased_themes,explanation
The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,Notes from New York,2001-09-16,5.2,0.4842,-0.8571,constructive,constructive,forecasting,forecasting,"risk (+3.76), politics (+1.63), psychology (+0.82)","prediction (-19.77), rates (-8.05), macro (-3.66)","later memo is materially more defensive / bearish in tone; greater emphasis on risk (+3.76), politics (+1.63), psychology (+0.82); less emphasis on prediction (-19.77), rates (-8.05), macro (-3.66)"
It’s Greek to Me,2010-07-19,There They Go Again . . . Again,2017-07-26,7.0,0.4842,-0.1466,constructive,opportunistic,forecasting,warning,"valuation (+7.63), risk (+6.06), technology_ai (+2.97)","macro (-5.01), politics (-4.43), credit (-3.37)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; greater emphasis on valuation (+7.63), risk (+6.06), technology_ai (+2.97); less emphasis on macro (-5.01), politics (-4.43), credit (-3.37)"
Pigweed,2006-12-07,The Winds of Change,2021-11-23,15.0,0.4841,-0.3006,constructive,constructive,warning,forecasting,"politics (+6.02), macro (+5.78), technology_ai (+3.17)","risk (-6.40), valuation (-4.80), prediction (-1.37)","prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+6.02), macro (+5.78), technology_ai (+3.17); less emphasis on risk (-6.40), valuation (-4.80), prediction (-1.37)"
Whodunit,2008-02-20,Calibrating,2020-04-06,12.1,0.4841,0.1488,constructive,opportunistic,warning,forecasting,"prediction (+2.39), uncertainty (+2.07), valuation (+1.60)","credit (-4.94), rates (-4.84), risk (-4.02)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; greater emphasis on prediction (+2.39), uncertainty (+2.07), valuation (+1.60); less emphasis on credit (-4.94), rates (-4.84), risk (-4.02)"
Doesn’t Make Sense,2008-07-31,Taking the Temperature,2023-07-10,14.9,0.484,-0.7037,opportunistic,constructive,forecasting,warning,"psychology (+5.12), cycles (+1.91), technology_ai (+1.60)","credit (-4.72), valuation (-2.07), politics (-1.29)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on psychology (+5.12), cycles (+1.91), technology_ai (+1.60); less emphasis on credit (-4.72), valuation (-2.07), politics (-1.29)"
The Race to the Bottom,2007-02-14,Ditto,2013-01-07,5.9,0.4839,-0.25,constructive,constructive,forecasting,warning,"risk (+9.84), cycles (+6.99), macro (+5.43)","credit (-9.27), rates (-2.20), technology_ai (-0.28)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+9.84), cycles (+6.99), macro (+5.43); less emphasis on credit (-9.27), rates (-2.20), technology_ai (-0.28)"
Notes from New York,2001-09-16,Hemlines,2010-09-10,9.0,0.4836,-0.1329,constructive,alarmed,forecasting,forecasting,"credit (+17.42), macro (+8.02), rates (+7.80)","politics (-1.41), risk (-1.15)","stance moves from constructive to alarmed; greater emphasis on credit (+17.42), macro (+8.02), rates (+7.80); less emphasis on politics (-1.41), risk (-1.15)"
Risk in Today's Markets,1994-02-17,Bull Market Rhymes,2022-05-26,28.3,0.4836,0.0588,cautious,opportunistic,warning,warning,"cycles (+4.02), technology_ai (+2.12), psychology (+1.97)","rates (-11.21), credit (-7.63), risk (-7.45)","stance moves from cautious to opportunistic; greater emphasis on cycles (+4.02), technology_ai (+2.12), psychology (+1.97); less emphasis on rates (-11.21), credit (-7.63), risk (-7.45)"
The Lessons of Oil,2014-12-18,Knowledge of the Future,2020-04-14,5.3,0.4835,-0.2179,opportunistic,constructive,forecasting,forecasting,"rates (+4.67), politics (+4.36), risk (+4.36)","valuation (-8.68), psychology (-1.82), technology_ai (-0.39)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+4.67), politics (+4.36), risk (+4.36); less emphasis on valuation (-8.68), psychology (-1.82), technology_ai (-0.39)"
Quo Vadis?,2002-07-26,It’s All Very Taxing,2011-11-16,9.3,0.4835,0.6032,opportunistic,constructive,forecasting,forecasting,"politics (+3.95), rates (+0.38)","valuation (-4.13), macro (-3.37), psychology (-2.63)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+3.95), rates (+0.38); less emphasis on valuation (-4.13), macro (-3.37), psychology (-2.63)"
Genius Isn't Enough (and Other Lessons from Long-Term Capital Management),1998-10-09,What Worries Me,2008-08-28,9.9,0.4835,0.0672,constructive,constructive,warning,forecasting,"macro (+3.33), valuation (+1.68), politics (+1.20)","risk (-6.20), credit (-5.33), rates (-3.22)","prediction posture moves from warning to forecasting; greater emphasis on macro (+3.33), valuation (+1.68), politics (+1.20); less emphasis on risk (-6.20), credit (-5.33), rates (-3.22)"
Are You An Investor or a Speculator?,1997-09-03,Mr. Market Miscalculates,2024-08-22,27.0,0.4835,0.4164,opportunistic,constructive,forecasting,forecasting,"psychology (+5.08), cycles (+1.04)","valuation (-7.20), credit (-5.23), rates (-4.97)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on psychology (+5.08), cycles (+1.04); less emphasis on valuation (-7.20), credit (-5.23), rates (-4.97)"
What’s Behind the Downturn?,2011-09-07,Shall We Repeal the Laws of Economics?,2024-09-19,13.0,0.4834,0.7,constructive,constructive,forecasting,forecasting,"valuation (+4.10), politics (+3.67), macro (+1.78)","credit (-8.74), risk (-3.60), prediction (-2.92)","later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+4.10), politics (+3.67), macro (+1.78); less emphasis on credit (-8.74), risk (-3.60), prediction (-2.92)"
There They Go Again,2005-05-06,Political Reality,2016-08-17,11.3,0.4834,0.48,constructive,constructive,warning,forecasting,"politics (+6.43), macro (+2.71)","valuation (-7.26), rates (-4.48), risk (-1.98)","prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.43), macro (+2.71); less emphasis on valuation (-7.26), rates (-4.48), risk (-1.98)"
The Route to Performance,1990-10-12,What Does the Market Know?,2016-01-19,25.3,0.4834,-0.4397,constructive,opportunistic,forecasting,forecasting,"valuation (+12.36), credit (+6.34), psychology (+4.87)","risk (-1.39), politics (-1.32), uncertainty (-1.32)","stance moves from constructive to opportunistic; later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+12.36), credit (+6.34), psychology (+4.87); less emphasis on risk (-1.39), politics (-1.32), uncertainty (-1.32)"
Assessing Performance Records – A Case Study,2012-02-15,Selling Out,2022-01-13,9.9,0.4833,0.7216,opportunistic,opportunistic,warning,forecasting,"psychology (+1.01), prediction (+0.74), rates (+0.25)","macro (-3.34), risk (-3.24), technology_ai (-1.54)","prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on psychology (+1.01), prediction (+0.74), rates (+0.25); less emphasis on macro (-3.34), risk (-3.24), technology_ai (-1.54)"
It’s All Very Taxing,2011-11-16,Cockroaches in the Coal Mine,2025-11-06,14.0,0.4833,-0.1889,constructive,constructive,forecasting,warning,"credit (+11.92), risk (+5.25), cycles (+4.03)","politics (-6.57), rates (-4.20), macro (-3.12)","prediction posture moves from forecasting to warning; greater emphasis on credit (+11.92), risk (+5.25), cycles (+4.03); less emphasis on politics (-6.57), rates (-4.20), macro (-3.12)"
"Hey, Steward!!",2004-03-16,Nobody Knows (Yet Again),2025-04-09,21.1,0.4831,-0.6207,constructive,constructive,forecasting,forecasting,"uncertainty (+3.60), macro (+3.17), prediction (+1.84)",risk (-0.38),"later memo is materially more defensive / bearish in tone; greater emphasis on uncertainty (+3.60), macro (+3.17), prediction (+1.84); less emphasis on risk (-0.38)"
Are You An Investor or a Speculator?,1997-09-03,Hemlines,2010-09-10,13.0,0.4831,-0.4445,opportunistic,alarmed,forecasting,forecasting,"credit (+11.62), macro (+1.81), psychology (+1.24)","valuation (-5.06), rates (-2.71), politics (-1.69)","stance moves from opportunistic to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+11.62), macro (+1.81), psychology (+1.24); less emphasis on valuation (-5.06), rates (-2.71), politics (-1.69)"
Déjà Vu All Over Again,2012-03-19,On Bubble Watch,2025-01-02,12.8,0.483,-0.5485,opportunistic,alarmed,forecasting,warning,"technology_ai (+2.89), rates (+0.72), macro (+0.71)","psychology (-2.44), prediction (-1.70), risk (-0.98)","stance moves from opportunistic to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+2.89), rates (+0.72), macro (+0.71); less emphasis on psychology (-2.44), prediction (-1.70), risk (-0.98)"
Hemlines,2010-09-10,Expert Opinion,2017-01-10,6.3,0.4829,0.3471,alarmed,constructive,forecasting,forecasting,politics (+5.71),"credit (-16.34), valuation (-5.87), macro (-4.63)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+5.71); less emphasis on credit (-16.34), valuation (-5.87), macro (-4.63)"
Safety First . . . But Where?,2001-04-10,Is It a Bubble?,2025-12-09,24.7,0.4829,-0.8148,opportunistic,alarmed,forecasting,forecasting,"technology_ai (+12.48), credit (+1.95), cycles (+0.85)","valuation (-2.99), macro (-2.26), risk (-1.50)","stance moves from opportunistic to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+12.48), credit (+1.95), cycles (+0.85); less emphasis on valuation (-2.99), macro (-2.26), risk (-1.50)"
Us and Them,2004-05-07,Go Figure!,2026-03-24,21.9,0.4829,0.022,opportunistic,constructive,forecasting,forecasting,"politics (+8.46), macro (+4.45), credit (+2.89)","valuation (-3.66), risk (-3.34), technology_ai (-0.34)","stance moves from opportunistic to constructive; greater emphasis on politics (+8.46), macro (+4.45), credit (+2.89); less emphasis on valuation (-3.66), risk (-3.34), technology_ai (-0.34)"
How the Game Should Be Played,1995-05-26,Hedge Funds: A Case for Caution,2004-10-06,9.4,0.4828,0.1471,opportunistic,constructive,forecasting,forecasting,"valuation (+5.77), rates (+2.66), credit (+0.71)","risk (-1.58), prediction (-1.23), cycles (-0.62)","stance moves from opportunistic to constructive; greater emphasis on valuation (+5.77), rates (+2.66), credit (+0.71); less emphasis on risk (-1.58), prediction (-1.23), cycles (-0.62)"
Investment Miscellany,2000-11-16,The Aviary,2008-05-16,7.5,0.4828,0.5175,alarmed,constructive,warning,warning,"politics (+6.18), cycles (+2.51), credit (+1.34)","valuation (-8.02), technology_ai (-4.05), prediction (-0.29)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.18), cycles (+2.51), credit (+1.34); less emphasis on valuation (-8.02), technology_ai (-4.05), prediction (-0.29)"
Investment Miscellany,2000-11-16,The Outlook for Equities,2013-03-13,12.3,0.4827,0.7933,alarmed,constructive,warning,warning,"credit (+12.94), risk (+6.58), rates (+3.79)",technology_ai (-4.05),"stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+12.94), risk (+6.58), rates (+3.79); less emphasis on technology_ai (-4.05)"
What's Going On?,2003-05-16,Calibrating,2020-04-06,16.9,0.4826,-0.3929,opportunistic,opportunistic,forecasting,forecasting,"risk (+2.78), uncertainty (+2.53), prediction (+0.83)","credit (-23.08), cycles (-4.92), rates (-4.61)","later memo is materially more defensive / bearish in tone; greater emphasis on risk (+2.78), uncertainty (+2.53), prediction (+0.83); less emphasis on credit (-23.08), cycles (-4.92), rates (-4.61)"
"Returns, Absolute Returns and Risk",2006-06-13,It’s All a Big Mistake,2012-06-20,6.0,0.4824,-0.3506,constructive,opportunistic,warning,warning,"credit (+11.78), psychology (+2.37), prediction (+1.02)","risk (-6.19), valuation (-4.49), rates (-0.19)","stance moves from constructive to opportunistic; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+11.78), psychology (+2.37), prediction (+1.02); less emphasis on risk (-6.19), valuation (-4.49), rates (-0.19)"
What’s Behind the Downturn?,2011-09-07,Calibrating,2020-04-06,8.6,0.4824,0.3571,constructive,opportunistic,forecasting,forecasting,"valuation (+3.26), risk (+2.07), uncertainty (+0.84)","credit (-8.49), macro (-4.88), politics (-2.77)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+3.26), risk (+2.07), uncertainty (+0.84); less emphasis on credit (-8.49), macro (-4.88), politics (-2.77)"
"Microeconomics 101: Supply, Demand and Convertibles",1992-10-08,The Winds of Change,2021-11-23,29.1,0.4823,-0.2237,constructive,constructive,forecasting,forecasting,"macro (+6.34), politics (+6.02), technology_ai (+3.17)","valuation (-11.17), credit (-6.06), risk (-1.44)","later memo is materially more defensive / bearish in tone; greater emphasis on macro (+6.34), politics (+6.02), technology_ai (+3.17); less emphasis on valuation (-11.17), credit (-6.06), risk (-1.44)"
Who Knew?,1998-01-08,Further Thoughts on Sea Change,2023-10-11,25.8,0.4823,-0.3255,constructive,opportunistic,forecasting,forecasting,"rates (+25.02), credit (+7.83), valuation (+4.25)","macro (-4.57), psychology (-1.81), uncertainty (-1.68)","stance moves from constructive to opportunistic; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+25.02), credit (+7.83), valuation (+4.25); less emphasis on macro (-4.57), psychology (-1.81), uncertainty (-1.68)"
Are You An Investor or a Speculator?,1997-09-03,The Outlook for Equities,2013-03-13,15.5,0.4822,0.0055,opportunistic,constructive,forecasting,warning,"credit (+10.41), risk (+7.68)","rates (-6.35), macro (-3.77), cycles (-2.62)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; greater emphasis on credit (+10.41), risk (+7.68); less emphasis on rates (-6.35), macro (-3.77), cycles (-2.62)"
Are You An Investor or a Speculator?,1997-09-03,Conversation at Panmure House,2022-06-23,24.8,0.4822,0.0788,opportunistic,constructive,forecasting,warning,"cycles (+2.56), psychology (+0.94)","rates (-10.51), valuation (-8.85), macro (-4.85)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; greater emphasis on cycles (+2.56), psychology (+0.94); less emphasis on rates (-10.51), valuation (-8.85), macro (-4.85)"
Safety First . . . But Where?,2001-04-10,Whodunit,2008-02-20,6.9,0.4822,-0.484,opportunistic,constructive,forecasting,warning,"risk (+5.61), rates (+4.95), credit (+4.50)","valuation (-5.28), technology_ai (-2.37), macro (-2.27)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+5.61), rates (+4.95), credit (+4.50); less emphasis on valuation (-5.28), technology_ai (-2.37), macro (-2.27)"
Returns and How They Get That Way,2002-11-11,The Limits to Negativism,2008-10-15,5.9,0.4821,-0.6806,opportunistic,alarmed,forecasting,forecasting,"psychology (+5.15), credit (+4.34), rates (+3.28)","valuation (-19.49), macro (-1.20), prediction (-0.94)","stance moves from opportunistic to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on psychology (+5.15), credit (+4.34), rates (+3.28); less emphasis on valuation (-19.49), macro (-1.20), prediction (-0.94)"
It’s Not Easy,2015-09-09,Something of Value,2021-01-11,5.3,0.4821,-0.3434,constructive,opportunistic,warning,forecasting,"valuation (+10.34), macro (+4.59), credit (+3.01)","risk (-10.27), prediction (-2.88), uncertainty (-0.19)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+10.34), macro (+4.59), credit (+3.01); less emphasis on risk (-10.27), prediction (-2.88), uncertainty (-0.19)"
It’s All Good,2007-07-16,The Seven Worst Words in the World,2018-09-26,11.2,0.482,-0.8417,constructive,alarmed,warning,warning,"credit (+10.49), rates (+6.28), macro (+1.88)","cycles (-5.39), psychology (-2.54), valuation (-0.72)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+10.49), rates (+6.28), macro (+1.88); less emphasis on cycles (-5.39), psychology (-2.54), valuation (-0.72)"
Down to the Wire,2011-07-21,Which Way Now?,2020-03-31,8.7,0.482,0.4019,alarmed,constructive,forecasting,forecasting,"valuation (+3.67), rates (+2.45), risk (+2.13)","credit (-13.03), politics (-0.66)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+3.67), rates (+2.45), risk (+2.13); less emphasis on credit (-13.03), politics (-0.66)"
Open and Shut,2010-12-01,Latest Thinking,2018-01-23,7.1,0.4819,-0.0128,opportunistic,constructive,warning,forecasting,"macro (+4.32), rates (+2.96), valuation (+2.73)","credit (-12.05), risk (-5.46), cycles (-4.55)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; greater emphasis on macro (+4.32), rates (+2.96), valuation (+2.73); less emphasis on credit (-12.05), risk (-5.46), cycles (-4.55)"
On Uncertain Ground,2012-09-11,Not Enough,2020-06-11,7.7,0.4819,0.585,constructive,opportunistic,forecasting,forecasting,psychology (+0.38),"macro (-6.63), risk (-4.08), uncertainty (-3.30)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on psychology (+0.38); less emphasis on macro (-6.63), risk (-4.08), uncertainty (-3.30)"
Will It Work?,2009-03-05,Uncertainty II,2020-05-28,11.2,0.4818,-0.8661,constructive,humble,forecasting,forecasting,"prediction (+3.49), uncertainty (+2.42), macro (+1.72)","politics (-7.83), credit (-2.26), psychology (-0.97)","stance moves from constructive to humble; later memo is materially more defensive / bearish in tone; greater emphasis on prediction (+3.49), uncertainty (+2.42), macro (+1.72); less emphasis on politics (-7.83), credit (-2.26), psychology (-0.97)"
How the Game Should Be Played,1995-05-26,Conversation at Panmure House,2022-06-23,27.1,0.4818,0.0333,opportunistic,constructive,forecasting,warning,"cycles (+4.28), credit (+3.10), valuation (+2.42)","prediction (-1.28), risk (-0.56)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; greater emphasis on cycles (+4.28), credit (+3.10), valuation (+2.42); less emphasis on prediction (-1.28), risk (-0.56)"
Tell Me I’m Wrong,2010-01-22,Uncertainty II,2020-05-28,10.3,0.4817,-0.8714,opportunistic,humble,forecasting,forecasting,"uncertainty (+2.67), prediction (+2.53), risk (+1.22)","rates (-13.27), macro (-11.05), credit (-5.62)","stance moves from opportunistic to humble; later memo is materially more defensive / bearish in tone; greater emphasis on uncertainty (+2.67), prediction (+2.53), risk (+1.22); less emphasis on rates (-13.27), macro (-11.05), credit (-5.62)"
Pigweed,2006-12-07,Easy Money,2024-01-09,17.1,0.4816,-0.4791,constructive,opportunistic,warning,warning,"rates (+28.07), credit (+7.26), cycles (+5.39)","risk (-2.36), uncertainty (-0.74), prediction (-0.36)","stance moves from constructive to opportunistic; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+28.07), credit (+7.26), cycles (+5.39); less emphasis on risk (-2.36), uncertainty (-0.74), prediction (-0.36)"
Will It Be Different This Time?,1996-11-25,Hemlines,2010-09-10,13.8,0.4816,-0.3082,constructive,alarmed,forecasting,forecasting,"credit (+11.90), rates (+7.80), valuation (+4.72)","cycles (-6.34), macro (-4.48), politics (-3.07)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+11.90), rates (+7.80), valuation (+4.72); less emphasis on cycles (-6.34), macro (-4.48), politics (-3.07)"
Etorre's Wisdom,2002-09-04,What Does the Market Know?,2016-01-19,13.4,0.4815,-0.0647,constructive,opportunistic,forecasting,forecasting,"valuation (+12.65), credit (+9.79), psychology (+4.87)","technology_ai (-1.05), risk (-0.57), uncertainty (-0.53)","stance moves from constructive to opportunistic; greater emphasis on valuation (+12.65), credit (+9.79), psychology (+4.87); less emphasis on technology_ai (-1.05), risk (-0.57), uncertainty (-0.53)"
What Does the Market Know?,2016-01-19,The Impact of Debt,2024-05-08,8.3,0.4815,0.023,opportunistic,opportunistic,forecasting,warning,"risk (+11.65), cycles (+1.31)","valuation (-13.88), psychology (-3.40), macro (-1.15)","prediction posture moves from forecasting to warning; greater emphasis on risk (+11.65), cycles (+1.31); less emphasis on valuation (-13.88), psychology (-3.40), macro (-1.15)"
It’s All Good . . . Really?,2007-07-30,Cockroaches in the Coal Mine,2025-11-06,18.3,0.4814,0.4879,opportunistic,constructive,forecasting,warning,"risk (+2.51), cycles (+1.41), valuation (+0.60)","macro (-3.00), credit (-2.15), rates (-1.80)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+2.51), cycles (+1.41), valuation (+0.60); less emphasis on macro (-3.00), credit (-2.15), rates (-1.80)"
Quo Vadis?,2002-07-26,Down to the Wire,2011-07-21,9.0,0.4813,-0.3626,opportunistic,alarmed,forecasting,forecasting,"credit (+14.52), politics (+2.01), risk (+0.80)","rates (-4.88), valuation (-4.88), psychology (-2.63)","stance moves from opportunistic to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+14.52), politics (+2.01), risk (+0.80); less emphasis on rates (-4.88), valuation (-4.88), psychology (-2.63)"
Touchstones,2009-11-10,On the Couch,2016-01-14,6.2,0.4811,0.3467,alarmed,constructive,warning,forecasting,"credit (+5.52), rates (+5.37), macro (+4.07)","risk (-7.30), politics (-1.49), prediction (-0.93)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+5.52), rates (+5.37), macro (+4.07); less emphasis on risk (-7.30), politics (-1.49), prediction (-0.93)"
Investment Miscellany,2000-11-16,The Tide Goes Out,2008-03-18,7.3,0.4809,0.8889,alarmed,constructive,warning,warning,"cycles (+3.49), risk (+3.48), credit (+2.20)","technology_ai (-3.83), valuation (-3.25), prediction (-0.31)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on cycles (+3.49), risk (+3.48), credit (+2.20); less emphasis on technology_ai (-3.83), valuation (-3.25), prediction (-0.31)"
Economic Reality,2016-05-26,Lessons from Silicon Valley Bank,2023-04-17,6.9,0.4806,-0.4722,constructive,constructive,forecasting,forecasting,"credit (+9.08), risk (+4.18), rates (+3.23)",macro (-7.00),"later memo is materially more defensive / bearish in tone; greater emphasis on credit (+9.08), risk (+4.18), rates (+3.23); less emphasis on macro (-7.00)"
Genius Isn't Enough (and Other Lessons from Long-Term Capital Management),1998-10-09,Gimme Credit,2025-03-06,26.4,0.4803,-0.134,constructive,constructive,warning,forecasting,"credit (+58.25), risk (+8.40), valuation (+5.90)","cycles (-2.77), politics (-1.04), macro (-0.75)","prediction posture moves from warning to forecasting; greater emphasis on credit (+58.25), risk (+8.40), valuation (+5.90); less emphasis on cycles (-2.77), politics (-1.04), macro (-0.75)"
Hemlines,2010-09-10,What Really Matters?,2022-11-22,12.2,0.4803,0.7496,alarmed,constructive,forecasting,forecasting,"risk (+1.52), cycles (+0.28)","credit (-13.63), rates (-6.12), macro (-5.51)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+1.52), cycles (+0.28); less emphasis on credit (-13.63), rates (-6.12), macro (-5.51)"
The New Paradigm,2006-10-19,It’s All Very Taxing,2011-11-16,5.1,0.4802,0.3389,opportunistic,constructive,forecasting,forecasting,"politics (+6.57), macro (+4.88), rates (+0.85)","credit (-7.98), valuation (-5.86), risk (-4.10)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.57), macro (+4.88), rates (+0.85); less emphasis on credit (-7.98), valuation (-5.86), risk (-4.10)"
What Worries Me,2008-08-28,Something of Value,2021-01-11,12.4,0.4801,-0.4398,constructive,opportunistic,forecasting,forecasting,"valuation (+15.23), technology_ai (+1.92), risk (+0.87)","politics (-2.06), prediction (-1.51), cycles (-0.20)","stance moves from constructive to opportunistic; later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+15.23), technology_ai (+1.92), risk (+0.87); less emphasis on politics (-2.06), prediction (-1.51), cycles (-0.20)"
What Does the Market Know?,2016-01-19,Lessons from Silicon Valley Bank,2023-04-17,7.2,0.48,-0.1437,opportunistic,constructive,forecasting,forecasting,"rates (+4.56), politics (+3.46), risk (+2.31)","valuation (-12.67), psychology (-4.67), prediction (-1.03)","stance moves from opportunistic to constructive; greater emphasis on rates (+4.56), politics (+3.46), risk (+2.31); less emphasis on valuation (-12.67), psychology (-4.67), prediction (-1.03)"
Random Thoughts On The Identification Of Inv Opportunities,1994-01-24,Sea Change,2022-12-13,28.9,0.48,-0.3169,opportunistic,opportunistic,forecasting,warning,"rates (+22.52), macro (+10.79), risk (+3.72)","psychology (-4.49), valuation (-3.16)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+22.52), macro (+10.79), risk (+3.72); less emphasis on psychology (-4.49), valuation (-3.16)"
Plan B,2008-09-24,The Impact of Debt,2024-05-08,15.6,0.4799,0.1458,constructive,opportunistic,forecasting,warning,"risk (+10.33), credit (+3.21), cycles (+2.15)","politics (-4.20), macro (-3.00), rates (-1.80)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; greater emphasis on risk (+10.33), credit (+3.21), cycles (+2.15); less emphasis on politics (-4.20), macro (-3.00), rates (-1.80)"
Us and Them,2004-05-07,There They Go Again . . . Again,2017-07-26,13.2,0.4798,-0.4423,opportunistic,opportunistic,forecasting,warning,"valuation (+3.69), credit (+3.03), risk (+2.78)","rates (-4.88), prediction (-1.31), macro (-1.21)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+3.69), credit (+3.03), risk (+2.78); less emphasis on rates (-4.88), prediction (-1.31), macro (-1.21)"
bubble.com,2000-01-02,Ditto,2013-01-07,13.0,0.4798,0.25,constructive,constructive,forecasting,warning,"risk (+14.57), cycles (+7.50), macro (+5.71)","technology_ai (-6.85), valuation (-3.22), politics (-0.40)","prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+14.57), cycles (+7.50), macro (+5.71); less emphasis on technology_ai (-6.85), valuation (-3.22), politics (-0.40)"
What Can We Do For You?,2012-01-10,AI Hurtles Ahead,2026-02-26,14.1,0.4798,0.0827,opportunistic,constructive,forecasting,forecasting,technology_ai (+23.78),"risk (-5.10), macro (-4.99), valuation (-2.76)","stance moves from opportunistic to constructive; greater emphasis on technology_ai (+23.78); less emphasis on risk (-5.10), macro (-4.99), valuation (-2.76)"
bubble.com,2000-01-02,Selling Out,2022-01-13,22.0,0.4797,0.5625,constructive,opportunistic,forecasting,forecasting,"risk (+1.27), macro (+0.50), credit (+0.38)","technology_ai (-6.85), valuation (-3.39), cycles (-0.62)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+1.27), macro (+0.50), credit (+0.38); less emphasis on technology_ai (-6.85), valuation (-3.39), cycles (-0.62)"
The Long View,2009-01-09,The Calculus of Value,2025-08-13,16.6,0.4796,0.4885,constructive,constructive,warning,forecasting,"valuation (+20.46), psychology (+2.93), prediction (+2.00)","credit (-8.14), cycles (-6.16), rates (-2.97)","prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+20.46), psychology (+2.93), prediction (+2.00); less emphasis on credit (-8.14), cycles (-6.16), rates (-2.97)"
The Long View,2009-01-09,Is It a Bubble?,2025-12-09,16.9,0.4796,-0.2891,constructive,alarmed,warning,forecasting,"technology_ai (+14.55), prediction (+1.37), uncertainty (+0.34)","credit (-6.63), macro (-4.44), cycles (-4.27)","stance moves from constructive to alarmed; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+14.55), prediction (+1.37), uncertainty (+0.34); less emphasis on credit (-6.63), macro (-4.44), cycles (-4.27)"
